source_system,recon_reference,transaction_id,account_id,booking_date,amount,currency,status
PaymentProcessorA,REC-A-TXN00003974,TXN00003974,ACC000789,2026-02-12,19.93,GBP,Completed
PaymentProcessorA,REC-A-TXN00006631,TXN00006631,ACC001292,2026-03-18,44.12,GBP,Reversed
PaymentProcessorA,REC-A-TXN00005548,TXN00005548,ACC000768,2026-01-16,64.74,EUR,Completed
PaymentProcessorA,REC-A-TXN00000036,TXN00000036,ACC000055,2026-05-28,5.16,GBP,Completed
PaymentProcessorA,REC-A-TXN00008363,TXN00008363,ACC000803,2026-06-17,81.33,GBP,Completed
PaymentProcessorA,REC-A-TXN00001514,TXN00001514,ACC001285,2026-06-20,17.56,GBP,Completed
PaymentProcessorA,REC-A-TXN00009318,TXN00009318,ACC000515,2026-02-01,55.72,USD,Completed
PaymentProcessorA,REC-A-TXN00000040,TXN00000040,ACC000314,2026-05-18,32.6,USD,Completed
PaymentProcessorA,REC-A-TXN00004820,TXN00004820,ACC000160,2026-02-25,15.67,GBP,Completed
PaymentProcessorA,REC-A-TXN00003466,TXN00003466,ACC000097,2026-01-25,284.24,GBP,Completed
PaymentProcessorA,REC-A-TXN00001761,TXN00001761,ACC000265,2026-02-02,94.93,GBP,Completed
PaymentProcessorA,REC-A-TXN00002305,TXN00002305,ACC001106,2026-03-27,45.03,GBP,Completed
PaymentProcessorA,REC-A-TXN00003724,TXN00003724,ACC000497,2026-06-14,50.38,GBP,Completed
PaymentProcessorA,REC-A-TXN00008285,TXN00008285,ACC000711,2026-06-16,4.3,GBP,Completed
PaymentProcessorA,REC-A-TXN00004994,TXN00004994,ACC000021,2026-01-09,221.72,GBP,Completed
PaymentProcessorA,REC-A-TXN00008128,TXN00008128,ACC000513,2026-05-27,48.78,GBP,Completed
PaymentProcessorA,REC-A-TXN00003033,TXN00003033,ACC000147,2026-06-25,25.16,USD,Completed
PaymentProcessorA,REC-A-TXN00007939,TXN00007939,ACC000902,2026-06-21,22.65,GBP,Completed
PaymentProcessorA,REC-A-TXN00003040,TXN00003040,ACC000826,2026-06-04,19.96,USD,Completed
PaymentProcessorA,REC-A-TXN00009656,TXN00009656,ACC000487,2026-04-11,15.68,GBP,Completed
PaymentProcessorA,REC-A-TXN00002546,TXN00002546,ACC000055,2026-01-17,37.17,GBP,Completed
PaymentProcessorA,REC-A-TXN00002593,TXN00002593,ACC000798,2026-06-29,9.85,GBP,Completed
PaymentProcessorA,REC-A-TXN00001189,TXN00001189,ACC000219,2026-05-02,186.49,GBP,Completed
PaymentProcessorA,REC-A-TXN00007967,TXN00007967,ACC000659,2026-02-27,13.13,EUR,Completed
PaymentProcessorA,REC-A-TXN00006078,TXN00006078,ACC001099,2026-04-05,95.47,GBP,Completed
PaymentProcessorA,REC-A-TXN00000108,TXN00000108,ACC001226,2026-04-03,30.19,GBP,Pending
PaymentProcessorA,REC-A-TXN00001316,TXN00001316,ACC000876,2026-03-06,9.28,GBP,Completed
PaymentProcessorA,REC-A-TXN00008188,TXN00008188,ACC000538,2026-01-07,9.73,USD,Completed
PaymentProcessorA,REC-A-TXN00002754,TXN00002754,ACC000383,2026-02-07,1751.09,GBP,Completed
PaymentProcessorA,REC-A-TXN00009754,TXN00009754,ACC000733,2026-01-05,18.24,GBP,Completed
PaymentProcessorA,REC-A-TXN00006232,TXN00006232,ACC000493,2026-06-16,10.28,EUR,Completed
PaymentProcessorA,REC-A-TXN00002877,TXN00002877,ACC000038,2026-04-29,14.13,USD,Completed
PaymentProcessorA,REC-A-TXN00005324,TXN00005324,ACC000608,2026-06-11,18.89,EUR,Completed
PaymentProcessorA,REC-A-TXN00000800,TXN00000800,ACC001102,2026-03-29,13.49,GBP,Completed
PaymentProcessorA,REC-A-TXN00003571,TXN00003571,ACC000080,2026-05-01,38.07,GBP,Completed
PaymentProcessorA,REC-A-TXN00002895,TXN00002895,ACC000028,2026-06-12,9.05,GBP,Completed
PaymentProcessorA,REC-A-TXN00002928,TXN00002928,ACC001164,2026-06-13,26.15,GBP,Completed
PaymentProcessorA,REC-A-TXN00008179,TXN00008179,ACC000557,2026-02-28,59.04,GBP,Completed
PaymentProcessorA,REC-A-TXN00000972,TXN00000972,ACC000178,2026-04-15,207.67,EUR,Completed
PaymentProcessorA,REC-A-TXN00006688,TXN00006688,ACC000319,2026-01-16,23.82,GBP,Completed
PaymentProcessorA,REC-A-TXN00008576,TXN00008576,ACC001102,2026-04-07,51.35,USD,Completed
PaymentProcessorA,REC-A-TXN00002021,TXN00002021,ACC000856,2026-01-30,112.78,GBP,Pending
PaymentProcessorA,REC-A-TXN00009055,TXN00009055,ACC001290,2026-01-30,42.83,GBP,Completed
PaymentProcessorA,REC-A-TXN00000953,TXN00000953,ACC000895,2026-01-21,27.63,GBP,Completed
PaymentProcessorA,REC-A-TXN00005360,TXN00005360,ACC000362,2026-07-04,79.45,GBP,Completed
PaymentProcessorA,REC-A-TXN00003858,TXN00003858,ACC001009,2026-03-01,58.71,GBP,Reversed
PaymentProcessorA,REC-A-TXN00005862,TXN00005862,ACC000351,2026-06-20,139.3,GBP,Completed
PaymentProcessorA,REC-A-TXN00003146,TXN00003146,ACC001154,2026-06-18,69.86,GBP,Completed
PaymentProcessorA,REC-A-TXN00003306,TXN00003306,ACC000853,2026-03-04,355.11,GBP,Completed
PaymentProcessorA,REC-A-TXN00003007,TXN00003007,ACC000747,2026-07-04,136.77,GBP,Completed
PaymentProcessorA,REC-A-TXN00009002,TXN00009002,ACC000843,2026-04-06,8.62,EUR,Completed
PaymentProcessorA,REC-A-TXN00007771,TXN00007771,ACC000033,2026-07-03,11.27,GBP,Completed
PaymentProcessorA,REC-A-TXN00007439,TXN00007439,ACC000814,2026-03-09,51.05,GBP,Completed
PaymentProcessorA,REC-A-TXN00007943,TXN00007943,ACC000570,2026-01-06,76.34,GBP,Completed
PaymentProcessorA,REC-A-TXN00009239,TXN00009239,ACC000711,2026-07-01,22.43,GBP,Completed
PaymentProcessorA,REC-A-TXN00001057,TXN00001057,ACC000070,2026-01-11,295.41,GBP,Completed
PaymentProcessorA,REC-A-TXN00003155,TXN00003155,ACC001187,2026-03-24,39.63,GBP,Completed
PaymentProcessorA,REC-A-TXN00003788,TXN00003788,ACC001013,2026-04-06,168.68,GBP,Completed
PaymentProcessorA,REC-A-TXN00009190,TXN00009190,ACC000135,2026-04-22,94.99,GBP,Completed
PaymentProcessorA,REC-A-TXN00007826,TXN00007826,ACC000842,2026-01-24,82.99,GBP,Completed
PaymentProcessorA,REC-A-TXN00007540,TXN00007540,ACC000885,2026-02-03,41.17,GBP,Completed
PaymentProcessorA,REC-A-TXN00007232,TXN00007232,ACC000937,2026-01-22,306.3,EUR,Completed
PaymentProcessorA,REC-A-TXN00000765,TXN00000765,ACC000391,2026-06-05,93.53,GBP,Completed
PaymentProcessorA,REC-A-TXN00005020,TXN00005020,ACC001221,2026-03-07,396.12,USD,Pending
PaymentProcessorA,REC-A-TXN00004904,TXN00004904,ACC000671,2026-06-21,374.16,GBP,Completed
PaymentProcessorA,REC-A-TXN00008094,TXN00008094,ACC001283,2026-06-20,126.83,GBP,Completed
PaymentProcessorA,REC-A-TXN00006844,TXN00006844,ACC000037,2026-01-27,15.22,USD,Failed
PaymentProcessorA,REC-A-TXN00002166,TXN00002166,ACC001010,2026-05-25,1406.08,GBP,Completed
PaymentProcessorA,REC-A-TXN00001863,TXN00001863,ACC000430,2026-03-11,108.4,GBP,Completed
PaymentProcessorA,REC-A-TXN00007851,TXN00007851,ACC000459,2026-06-19,228.73,GBP,Completed
PaymentProcessorA,REC-A-TXN00009124,TXN00009124,ACC000788,2026-04-19,46.06,GBP,Completed
PaymentProcessorA,REC-A-TXN00002341,TXN00002341,ACC000335,2026-04-21,32.09,GBP,Completed
PaymentProcessorA,REC-A-TXN00005528,TXN00005528,ACC000784,2026-05-08,27.63,GBP,Pending
PaymentProcessorA,REC-A-TXN00006744,TXN00006744,ACC000292,2026-03-24,27.17,GBP,Completed
PaymentProcessorA,REC-A-TXN00004004,TXN00004004,ACC000834,2026-01-05,34.45,GBP,Completed
PaymentProcessorA,REC-A-TXN00001124,TXN00001124,ACC000045,2026-05-01,40.62,GBP,Completed
PaymentProcessorA,REC-A-TXN00008710,TXN00008710,ACC001115,2026-03-26,88.33,GBP,Completed
PaymentProcessorA,REC-A-TXN00004050,TXN00004050,ACC000840,2026-05-28,46.7,GBP,Completed
PaymentProcessorA,REC-A-TXN00007641,TXN00007641,ACC001188,2026-05-07,58.42,GBP,Completed
PaymentProcessorA,REC-A-TXN00000766,TXN00000766,ACC001153,2026-04-15,21.84,USD,Completed
PaymentProcessorA,REC-A-TXN00002345,TXN00002345,ACC000377,2026-06-25,210.52,GBP,Completed
PaymentProcessorA,REC-A-TXN00004072,TXN00004072,ACC000876,2026-05-23,118.93,EUR,Completed
PaymentProcessorA,REC-A-TXN00007217,TXN00007217,ACC001027,2026-03-21,49.18,GBP,Completed
PaymentProcessorA,REC-A-TXN00004217,TXN00004217,ACC000461,2026-04-02,3.42,GBP,Completed
PaymentProcessorA,REC-A-TXN00007953,TXN00007953,ACC000322,2026-03-15,13.94,GBP,Completed
PaymentProcessorA,REC-A-TXN00005971,TXN00005971,ACC000370,2026-02-27,12.47,GBP,Completed
PaymentProcessorA,REC-A-TXN00003351,TXN00003351,ACC000332,2026-03-13,2.71,EUR,Completed
PaymentProcessorA,REC-A-TXN00004696,TXN00004696,ACC000421,2026-01-27,10.54,USD,Completed
PaymentProcessorA,REC-A-TXN00003400,TXN00003400,ACC000852,2026-05-21,10.6,GBP,Reversed
PaymentProcessorA,REC-A-TXN00004082,TXN00004082,ACC000113,2026-03-14,60.61,EUR,Completed
PaymentProcessorA,REC-A-TXN00009150,TXN00009150,ACC000579,2026-03-26,103.96,GBP,Completed
PaymentProcessorA,REC-A-TXN00001225,TXN00001225,ACC000179,2026-02-21,372.16,EUR,Completed
PaymentProcessorA,REC-A-TXN00006293,TXN00006293,ACC000405,2026-02-16,37.32,EUR,Completed
PaymentProcessorA,REC-A-TXN00003123,TXN00003123,ACC001244,2026-03-13,79.2,GBP,Completed
PaymentProcessorA,REC-A-TXN00000511,TXN00000511,ACC000240,2026-06-17,20.56,EUR,Completed
PaymentProcessorA,REC-A-TXN00005795,TXN00005795,ACC000023,2026-06-26,57.2,GBP,Completed
PaymentProcessorA,REC-A-TXN00008182,TXN00008182,ACC001179,2026-06-10,7.76,GBP,Completed
PaymentProcessorA,REC-A-TXN00009418,TXN00009418,ACC001123,2026-02-20,8.85,GBP,Reversed
PaymentProcessorA,REC-A-TXN00000097,TXN00000097,ACC000950,2026-03-09,25.98,GBP,Completed
PaymentProcessorA,REC-A-TXN00006682,TXN00006682,ACC000530,2026-05-14,85.9,GBP,Completed
PaymentProcessorA,REC-A-TXN00001513,TXN00001513,ACC000690,2026-07-03,117.3,GBP,Completed
PaymentProcessorA,REC-A-TXN00008792,TXN00008792,ACC000966,2026-01-23,3900.45,GBP,Completed
PaymentProcessorA,REC-A-TXN00000120,TXN00000120,ACC000265,2026-06-22,13.59,GBP,Pending
PaymentProcessorA,REC-A-TXN00007792,TXN00007792,ACC000114,2026-04-06,16.53,GBP,Completed
PaymentProcessorA,REC-A-TXN00006518,TXN00006518,ACC001002,2026-05-25,4.38,GBP,Completed
PaymentProcessorA,REC-A-TXN00000034,TXN00000034,ACC000335,2026-03-22,10.8,GBP,Completed
PaymentProcessorA,REC-A-TXN00007888,TXN00007888,ACC000029,2026-04-09,16.71,GBP,Completed
PaymentProcessorA,REC-A-TXN00006831,TXN00006831,ACC000661,2026-06-14,26.87,GBP,Completed
PaymentProcessorA,REC-A-TXN00005422,TXN00005422,ACC000924,2026-03-21,50.8,GBP,Completed
PaymentProcessorA,REC-A-TXN00001069,TXN00001069,ACC000214,2026-04-29,52.72,GBP,Completed
PaymentProcessorA,REC-A-TXN00001348,TXN00001348,ACC000544,2026-01-25,17.17,USD,Completed
PaymentProcessorA,REC-A-TXN00004748,TXN00004748,ACC001146,2026-05-22,22.17,GBP,Completed
PaymentProcessorA,REC-A-TXN00006006,TXN00006006,ACC000978,2026-02-20,83.87,GBP,Completed
PaymentProcessorA,REC-A-TXN00006040,TXN00006040,ACC000895,2026-03-16,31.25,GBP,Completed
PaymentProcessorA,REC-A-TXN00003818,TXN00003818,ACC000389,2026-06-05,38.45,GBP,Pending
PaymentProcessorA,REC-A-TXN00008447,TXN00008447,ACC000123,2026-05-13,130.22,GBP,Completed
PaymentProcessorA,REC-A-TXN00005270,TXN00005270,ACC000608,2026-01-28,35.83,GBP,Completed
PaymentProcessorA,REC-A-TXN00006898,TXN00006898,ACC000893,2026-04-02,70.84,GBP,Completed
PaymentProcessorA,REC-A-TXN00005310,TXN00005310,ACC001246,2026-03-02,12.79,USD,Completed
PaymentProcessorA,REC-A-TXN00000032,TXN00000032,ACC000005,2026-05-27,12.71,GBP,Completed
PaymentProcessorA,REC-A-TXN00005675,TXN00005675,ACC000482,2026-05-26,15.89,GBP,Completed
PaymentProcessorA,REC-A-TXN00004387,TXN00004387,ACC001065,2026-05-22,1669.54,GBP,Completed
PaymentProcessorA,REC-A-TXN00000030,TXN00000030,ACC000625,2026-05-25,233.29,GBP,Completed
PaymentProcessorA,REC-A-TXN00004203,TXN00004203,ACC000875,2026-05-09,16.04,USD,Completed
PaymentProcessorA,REC-A-TXN00007508,TXN00007508,ACC000170,2026-03-11,101.01,EUR,Completed
PaymentProcessorA,REC-A-TXN00000736,TXN00000736,ACC000785,2026-03-09,74.27,GBP,Completed
PaymentProcessorA,REC-A-TXN00002068,TXN00002068,ACC001296,2026-06-17,37.37,GBP,Completed
PaymentProcessorA,REC-A-TXN00000107,TXN00000107,ACC000152,2026-06-23,429.77,GBP,Completed
PaymentProcessorA,REC-A-TXN00009645,TXN00009645,ACC001159,2026-04-15,4.96,GBP,Completed
PaymentProcessorA,REC-A-TXN00008895,TXN00008895,ACC000973,2026-05-25,121.78,GBP,Completed
PaymentProcessorA,REC-A-TXN00008021,TXN00008021,ACC000784,2026-05-21,14.84,USD,Completed
PaymentProcessorA,REC-A-TXN00002233,TXN00002233,ACC001032,2026-03-29,71.43,USD,Completed
PaymentProcessorA,REC-A-TXN00000994,TXN00000994,ACC001139,2026-05-21,10.74,GBP,Completed
PaymentProcessorA,REC-A-TXN00009413,TXN00009413,ACC001050,2026-03-14,104.24,GBP,Completed
PaymentProcessorA,REC-A-TXN00007059,TXN00007059,ACC000695,2026-02-21,52.21,GBP,Completed
PaymentProcessorA,REC-A-TXN00006790,TXN00006790,ACC000770,2026-06-14,7.99,USD,Completed
PaymentProcessorA,REC-A-TXN00000361,TXN00000361,ACC000645,2026-05-05,4.38,GBP,Completed
PaymentProcessorA,REC-A-TXN00000305,TXN00000305,ACC000880,2026-01-06,66.36,GBP,Completed
PaymentProcessorA,REC-A-TXN00002628,TXN00002628,ACC001158,2026-04-22,266.95,USD,Completed
PaymentProcessorA,REC-A-TXN00008966,TXN00008966,ACC000991,2026-05-03,54.15,GBP,Completed
PaymentProcessorA,REC-A-TXN00004514,TXN00004514,ACC000145,2026-05-09,18.18,GBP,Completed
PaymentProcessorA,REC-A-TXN00005911,TXN00005911,ACC001200,2026-04-19,16.18,GBP,Completed
PaymentProcessorA,REC-A-TXN00008314,TXN00008314,ACC000606,2026-07-03,73.24,GBP,Completed
PaymentProcessorA,REC-A-TXN00003101,TXN00003101,ACC000311,2026-01-18,73.35,GBP,Completed
PaymentProcessorA,REC-A-TXN00005704,TXN00005704,ACC000982,2026-04-08,12.19,GBP,Completed
PaymentProcessorA,REC-A-TXN00003899,TXN00003899,ACC000246,2026-01-30,92.98,USD,Completed
PaymentProcessorA,REC-A-TXN00005441,TXN00005441,ACC001010,2026-03-06,6.4,GBP,Completed
PaymentProcessorA,REC-A-TXN00007931,TXN00007931,ACC000546,2026-02-21,4.72,GBP,Completed
PaymentProcessorA,REC-A-TXN00000622,TXN00000622,ACC000097,2026-06-24,479.8,GBP,Completed
PaymentProcessorA,REC-A-TXN00007236,TXN00007236,ACC001097,2026-01-23,41.34,GBP,Completed
PaymentProcessorA,REC-A-TXN00002499,TXN00002499,ACC000939,2026-04-01,68.01,GBP,Completed
PaymentProcessorA,REC-A-TXN00000714,TXN00000714,ACC001147,2026-06-22,19.86,GBP,Completed
PaymentProcessorA,REC-A-TXN00008404,TXN00008404,ACC000535,2026-06-13,32.73,USD,Completed
PaymentProcessorA,REC-A-TXN00002856,TXN00002856,ACC000843,2026-03-15,9.32,GBP,Completed
PaymentProcessorA,REC-A-TXN00004270,TXN00004270,ACC000857,2026-06-29,3.93,GBP,Completed
PaymentProcessorA,REC-A-TXN00002909,TXN00002909,ACC000557,2026-01-20,21.98,GBP,Completed
PaymentProcessorA,REC-A-TXN00008081,TXN00008081,ACC000334,2026-05-18,24.88,GBP,Completed
PaymentProcessorA,REC-A-TXN00004517,TXN00004517,ACC000470,2026-05-24,16.51,EUR,Pending
PaymentProcessorA,REC-A-TXN00001262,TXN00001262,ACC000849,2026-06-05,9.86,GBP,Completed
PaymentProcessorA,REC-A-TXN00003161,TXN00003161,ACC000689,2026-04-25,164.58,GBP,Completed
PaymentProcessorA,REC-A-TXN00000971,TXN00000971,ACC000289,2026-04-23,18.37,GBP,Completed
PaymentProcessorA,REC-A-TXN00003913,TXN00003913,ACC000476,2026-06-04,95.77,GBP,Completed
PaymentProcessorA,REC-A-TXN00005199,TXN00005199,ACC000222,2026-02-04,43.02,GBP,Completed
PaymentProcessorA,REC-A-TXN00008847,TXN00008847,ACC000688,2026-03-16,93.59,EUR,Completed
PaymentProcessorA,REC-A-TXN00000260,TXN00000260,ACC000888,2026-02-18,36.97,GBP,Completed
PaymentProcessorA,REC-A-TXN00003791,TXN00003791,ACC000448,2026-03-29,38.86,GBP,Completed
PaymentProcessorA,REC-A-TXN00009203,TXN00009203,ACC000918,2026-04-14,22.93,GBP,Completed
PaymentProcessorA,REC-A-TXN00000488,TXN00000488,ACC000298,2026-06-07,60.4,GBP,Completed
PaymentProcessorA,REC-A-TXN00007908,TXN00007908,ACC000672,2026-05-29,40.09,GBP,Completed
PaymentProcessorA,REC-A-TXN00000519,TXN00000519,ACC001268,2026-04-13,29.87,GBP,Completed
PaymentProcessorA,REC-A-TXN00008343,TXN00008343,ACC001280,2026-03-29,29.35,GBP,Completed
PaymentProcessorA,REC-A-TXN00000312,TXN00000312,ACC000393,2026-03-01,68.31,GBP,Completed
PaymentProcessorA,REC-A-TXN00003232,TXN00003232,ACC001076,2026-03-04,57.87,GBP,Completed
PaymentProcessorA,REC-A-TXN00007933,TXN00007933,ACC000470,2026-03-31,9.65,GBP,Completed
PaymentProcessorA,REC-A-TXN00007458,TXN00007458,ACC000967,2026-02-08,43.23,EUR,Completed
PaymentProcessorA,REC-A-TXN00009784,TXN00009784,ACC000677,2026-01-14,77.7,GBP,Completed
PaymentProcessorA,REC-A-TXN00005184,TXN00005184,ACC000461,2026-03-18,479.14,GBP,Completed
PaymentProcessorA,REC-A-TXN00008077,TXN00008077,ACC000315,2026-07-01,64.63,GBP,Completed
PaymentProcessorA,REC-A-TXN00006502,TXN00006502,ACC000884,2026-01-20,4068.1,GBP,Completed
PaymentProcessorA,REC-A-TXN00006791,TXN00006791,ACC001218,2026-03-22,81.29,GBP,Failed
PaymentProcessorA,REC-A-TXN00007773,TXN00007773,ACC000932,2026-06-10,22.44,GBP,Completed
PaymentProcessorA,REC-A-TXN00002738,TXN00002738,ACC001293,2026-05-09,21.15,GBP,Completed
PaymentProcessorA,REC-A-TXN00007842,TXN00007842,ACC000774,2026-03-16,36.09,GBP,Completed
PaymentProcessorA,REC-A-TXN00006262,TXN00006262,ACC000224,2026-01-28,53.59,GBP,Completed
PaymentProcessorA,REC-A-TXN00008206,TXN00008206,ACC001191,2026-04-25,243.51,GBP,Completed
PaymentProcessorA,REC-A-TXN00001248,TXN00001248,ACC000152,2026-01-05,98.7,USD,Completed
PaymentProcessorA,REC-A-TXN00009336,TXN00009336,ACC000246,2026-06-08,13.1,GBP,Completed
PaymentProcessorA,REC-A-TXN00004195,TXN00004195,ACC000521,2026-05-06,6.87,GBP,Completed
PaymentProcessorA,REC-A-TXN00008001,TXN00008001,ACC001171,2026-02-06,19.42,GBP,Pending
PaymentProcessorA,REC-A-TXN00007378,TXN00007378,ACC000529,2026-03-13,12.69,EUR,Completed
PaymentProcessorA,REC-A-TXN00003435,TXN00003435,ACC000703,2026-03-08,90.38,EUR,Completed
PaymentProcessorA,REC-A-TXN00005382,TXN00005382,ACC000456,2026-05-26,101.8,GBP,Completed
PaymentProcessorA,REC-A-TXN00000959,TXN00000959,ACC001289,2026-04-30,92.26,EUR,Reversed
PaymentProcessorA,REC-A-TXN00000417,TXN00000417,ACC000085,2026-06-07,34.62,EUR,Pending
PaymentProcessorA,REC-A-TXN00005742,TXN00005742,ACC000782,2026-07-04,66.86,GBP,Completed
PaymentProcessorA,REC-A-TXN00006728,TXN00006728,ACC000015,2026-02-20,5.2,GBP,Completed
PaymentProcessorA,REC-A-TXN00004382,TXN00004382,ACC000164,2026-05-04,34.56,EUR,Completed
PaymentProcessorA,REC-A-TXN00005197,TXN00005197,ACC000472,2026-03-02,4.15,GBP,Pending
PaymentProcessorA,REC-A-TXN00001113,TXN00001113,ACC001103,2026-03-30,3.01,GBP,Completed
PaymentProcessorA,REC-A-TXN00002689,TXN00002689,ACC000190,2026-02-12,6.14,GBP,Completed
PaymentProcessorA,REC-A-TXN00006473,TXN00006473,ACC001276,2026-01-11,58.02,USD,Completed
PaymentProcessorA,REC-A-TXN00008820,TXN00008820,ACC000471,2026-03-24,30.17,GBP,Completed
PaymentProcessorA,REC-A-TXN00007808,TXN00007808,ACC001162,2026-06-28,21.74,GBP,Completed
PaymentProcessorA,REC-A-TXN00003411,TXN00003411,ACC000401,2026-01-13,144.97,GBP,Completed
PaymentProcessorA,REC-A-TXN00000081,TXN00000081,ACC000193,2026-03-23,22.16,GBP,Failed
PaymentProcessorA,REC-A-TXN00004614,TXN00004614,ACC001114,2026-06-21,26.96,GBP,Completed
PaymentProcessorA,REC-A-TXN00001374,TXN00001374,ACC000855,2026-03-21,30.97,GBP,Completed
PaymentProcessorA,REC-A-TXN00001510,TXN00001510,ACC000405,2026-01-12,58.35,GBP,Completed
PaymentProcessorA,REC-A-TXN00006443,TXN00006443,ACC001256,2026-05-01,37.19,GBP,Completed
PaymentProcessorA,REC-A-TXN00003071,TXN00003071,ACC000943,2026-04-15,74.61,GBP,Completed
PaymentProcessorA,REC-A-TXN00003016,TXN00003016,ACC000403,2026-04-24,94.78,GBP,Completed
PaymentProcessorA,REC-A-TXN00004823,TXN00004823,ACC000212,2026-01-13,6.08,GBP,Completed
PaymentProcessorA,REC-A-TXN00007822,TXN00007822,ACC000187,2026-05-18,5.61,GBP,Completed
PaymentProcessorA,REC-A-TXN00000093,TXN00000093,ACC000932,2026-04-27,36.79,GBP,Completed
PaymentProcessorA,REC-A-TXN00009421,TXN00009421,ACC000429,2026-01-31,50.67,GBP,Completed
PaymentProcessorA,REC-A-TXN00006600,TXN00006600,ACC000087,2026-03-05,459.4,GBP,Completed
PaymentProcessorA,REC-A-TXN00004443,TXN00004443,ACC001185,2026-05-07,39.17,USD,Completed
PaymentProcessorA,REC-A-TXN00007602,TXN00007602,ACC000919,2026-01-08,20.45,EUR,Completed
PaymentProcessorA,REC-A-TXN00003835,TXN00003835,ACC000883,2026-03-06,12.81,GBP,Completed
PaymentProcessorA,REC-A-TXN00009702,TXN00009702,ACC000031,2026-06-15,6.81,GBP,Completed
