transaction_id,transaction_timestamp,customer_id,full_name,customer_master_country,country_risk_level,customer_segment,kyc_status,customer_master_pep_flag,account_id,account_type,account_status,merchant_id,merchant_name,merchant_category,merchant_country,merchant_country_risk_level,amount,currency,channel,transaction_type,status,cross_border_flag,high_amount_flag,unusual_hour_flag,high_risk_category_flag,high_risk_country_flag,kyc_issue_flag,pep_flag,watchlist_match_flag,watchlist_type,watchlist_risk_reason,suspicious_label,rule_based_risk_score,risk_band,alert_priority,should_create_alert,reason_codes,reason_count,scored_at
TXN00004672,2026-01-23 09:19:00,CUST000514,Leo Hall,Pakistan,Medium,Retail,Verified,0,ACC000061,Savings,Active,MER000173,Cash Withdrawal Merchant 173,Cash Withdrawal,France,Low,2127.91,GBP,Mobile Banking,Transfer,Completed,1,1,0,1,0,0,0,1,Dummy PEP,Name appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; CROSS_BORDER_TRANSACTION; ELEVATED_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00003444,2026-01-28 16:49:04,CUST000748,Daniel Khan,France,Low,Retail,Verified,0,ACC000330,Savings,Active,MER000185,Gambling Merchant 185,Gambling,United States,Low,1572.24,GBP,Branch,Purchase,Completed,1,1,0,1,0,0,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00008937,2026-03-19 15:23:05,CUST000754,Lucas Khan,Turkey,High,Retail,Verified,0,ACC000733,Savings,Active,MER000098,Money Transfer Merchant 098,Money Transfer,France,Low,583.11,USD,API,Purchase,Completed,1,0,0,1,1,0,0,1,Internal High Risk,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00002886,2026-04-02 19:15:54,CUST000119,Adam Hall,Germany,Low,Retail,Verified,1,ACC001105,Current,Active,MER000098,Money Transfer Merchant 098,Money Transfer,France,Low,241.7,USD,E-Commerce,Purchase,Completed,1,0,0,1,0,0,1,1,Internal High Risk,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; PEP_CUSTOMER; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00009937,2026-04-03 20:53:25,CUST000042,Grace Green,Singapore,Low,Retail,Pending Review,0,ACC001049,Current,Active,MER000061,Crypto Exchange Merchant 061,Crypto Exchange,Germany,Low,176.72,GBP,ATM,Purchase,Completed,1,0,0,1,0,1,0,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; KYC_ISSUE; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00001353,2026-04-17 07:56:38,CUST000077,Noah Jones,Pakistan,Medium,Retail,Verified,0,ACC001057,Current,Active,MER000242,Cash Withdrawal Merchant 242,Cash Withdrawal,Turkey,High,138.13,GBP,ATM,Purchase,Completed,1,0,0,1,1,0,0,1,Dummy Sanctions,Politically exposed dummy profile,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; ELEVATED_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00005682,2026-06-15 03:43:46,CUST000247,Isabella Thomas,Turkey,High,Retail,Verified,0,ACC000279,Current,Active,MER000185,Gambling Merchant 185,Gambling,United States,Low,107.93,GBP,E-Commerce,Purchase,Completed,1,0,1,1,1,0,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00009190,2026-04-30 00:17:02,CUST000741,Grace Wright,Turkey,High,Retail,Verified,0,ACC000135,Current,Active,MER000219,Money Transfer Merchant 219,Money Transfer,United Kingdom,Low,94.99,GBP,Branch,Transfer,Completed,1,0,1,1,1,0,0,1,Internal High Risk,Name appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00005229,2026-01-28 04:36:42,CUST000860,Sophia Green,Turkey,High,Retail,Verified,0,ACC000350,Current,Dormant,MER000050,Luxury Goods Merchant 050,Luxury Goods,Spain,Low,92.39,EUR,API,Transfer,Completed,1,0,1,1,1,0,0,1,Dummy PEP,Internal high-risk dummy case,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; ELEVATED_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00009398,2026-06-08 02:01:27,CUST000661,Aisha Ahmed,Canada,Low,Retail,Pending Review,0,ACC000722,Current,Active,MER000112,Crypto Exchange Merchant 112,Crypto Exchange,Pakistan,Medium,92.12,GBP,Card Present,Purchase,Completed,1,0,1,1,0,1,0,1,Internal High Risk,Internal high-risk dummy case,1,100,Critical,P1,1,WATCHLIST_MATCH; KYC_ISSUE; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00007979,2026-03-22 00:46:22,CUST000846,Ali Jones,United Arab Emirates,Medium,Retail,Pending Review,0,ACC000816,Current,Active,MER000198,Pharmacy Merchant 198,Pharmacy,Turkey,High,84.48,GBP,Mobile Banking,Cash Withdrawal,Completed,1,0,1,0,1,1,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; KYC_ISSUE; HIGH_RISK_COUNTRY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00001049,2026-05-01 04:49:46,CUST000101,Noah Walker,Italy,Low,Retail,Verified,1,ACC000397,Current,Active,MER000143,Cash Withdrawal Merchant 143,Cash Withdrawal,Netherlands,Low,76.15,GBP,Branch,Transfer,Completed,1,0,1,1,0,0,1,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; PEP_CUSTOMER; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; ELEVATED_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00006806,2026-07-03 14:15:24,CUST000830,Amelia Hall,Singapore,Low,Retail,Pending Review,0,ACC000478,Current,Active,MER000185,Gambling Merchant 185,Gambling,United States,Low,72.74,USD,Card Present,Transfer,Completed,1,0,0,1,0,1,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; KYC_ISSUE; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00000578,2026-05-21 18:44:11,CUST000243,Zara Green,Nigeria,High,Retail,Verified,0,ACC000702,Current,Active,MER000185,Gambling Merchant 185,Gambling,United States,Low,70.41,GBP,Branch,Purchase,Completed,1,0,0,1,1,0,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00003146,2026-06-25 05:01:57,CUST000886,Oliver Patel,Nigeria,High,Retail,Verified,0,ACC001154,Current,Active,MER000061,Crypto Exchange Merchant 061,Crypto Exchange,Germany,Low,69.86,GBP,API,Purchase,Completed,1,0,0,1,1,0,0,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00006891,2026-02-21 01:37:10,CUST000119,Adam Hall,Germany,Low,Retail,Verified,1,ACC001105,Current,Active,MER000061,Crypto Exchange Merchant 061,Crypto Exchange,Germany,Low,66.0,GBP,ATM,Purchase,Completed,0,0,1,1,0,0,1,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; PEP_CUSTOMER; HIGH_RISK_MERCHANT_CATEGORY; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG,6,2026-07-11T20:43:40
TXN00008812,2026-01-24 16:08:45,CUST000291,Adam Patel,Germany,Low,Retail,Pending Review,1,ACC000076,Savings,Active,MER000161,Crypto Exchange Merchant 161,Crypto Exchange,Turkey,High,64.75,GBP,API,Purchase,Completed,1,0,0,1,1,1,1,0,,,1,100,Critical,P1,1,PEP_CUSTOMER; KYC_ISSUE; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG,7,2026-07-11T20:43:40
TXN00008719,2026-03-30 22:00:12,CUST000661,Aisha Ahmed,Canada,Low,Retail,Pending Review,0,ACC000722,Current,Active,MER000131,Crypto Exchange Merchant 131,Crypto Exchange,Turkey,High,59.69,GBP,API,Cash Withdrawal,Completed,1,0,0,1,1,1,0,1,Internal High Risk,Internal high-risk dummy case,1,100,Critical,P1,1,WATCHLIST_MATCH; KYC_ISSUE; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00001407,2026-04-26 12:10:41,CUST000862,Sophia Ali,India,Medium,Retail,Verified,1,ACC000151,Business,Active,MER000098,Money Transfer Merchant 098,Money Transfer,France,Low,54.31,USD,Mobile Banking,Cash Withdrawal,Completed,1,0,0,1,0,0,1,1,Internal High Risk,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; PEP_CUSTOMER; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00000183,2026-02-04 08:50:26,CUST000353,Oliver Hussain,Nigeria,High,SME,Verified,0,ACC000534,Current,Dormant,MER000185,Gambling Merchant 185,Gambling,United States,Low,53.8,EUR,API,Purchase,Completed,1,0,0,1,1,0,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00001631,2026-07-06 07:38:07,CUST000531,Maya Green,Nigeria,High,Retail,Verified,0,ACC001167,Savings,Active,MER000061,Crypto Exchange Merchant 061,Crypto Exchange,Germany,Low,51.97,GBP,Mobile Banking,Purchase,Completed,1,0,0,1,1,0,0,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00002881,2026-07-04 04:58:47,CUST000679,Hannah Taylor,Nigeria,High,Retail,Verified,0,ACC000861,Current,Active,MER000071,Luxury Goods Merchant 071,Luxury Goods,United Arab Emirates,Medium,51.12,GBP,E-Commerce,Purchase,Completed,1,0,1,1,1,0,0,1,Dummy Sanctions,Internal high-risk dummy case,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; ELEVATED_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00001582,2026-04-11 22:14:04,CUST000889,Isabella Miller,India,Medium,SME,Pending Review,0,ACC001175,Current,Active,MER000098,Money Transfer Merchant 098,Money Transfer,France,Low,50.69,GBP,E-Commerce,Purchase,Completed,1,0,0,1,0,1,0,1,Internal High Risk,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; KYC_ISSUE; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00008459,2026-05-18 08:29:29,CUST000902,Zara Khan,Nigeria,High,Retail,Verified,0,ACC001022,Savings,Active,MER000185,Gambling Merchant 185,Gambling,United States,Low,44.14,EUR,E-Commerce,Refund,Completed,1,0,0,1,1,0,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00005051,2026-03-29 09:10:51,CUST000420,Daniel Jones,Nigeria,High,Retail,Verified,0,ACC000917,Current,Active,MER000185,Gambling Merchant 185,Gambling,United States,Low,43.81,GBP,ATM,Transfer,Completed,1,0,0,1,1,0,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00004209,2026-03-29 10:10:59,CUST000580,Muhammad Ali,India,Medium,Retail,Pending Review,1,ACC000716,Savings,Active,MER000164,Gambling Merchant 164,Gambling,Turkey,High,37.8,GBP,Mobile Banking,Purchase,Completed,1,0,0,1,1,1,1,0,,,1,100,Critical,P1,1,PEP_CUSTOMER; KYC_ISSUE; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY,6,2026-07-11T20:43:40
TXN00004850,2026-01-27 00:41:43,CUST000681,Fatima Walker,Turkey,High,Retail,Verified,0,ACC000713,Current,Active,MER000098,Money Transfer Merchant 098,Money Transfer,France,Low,37.13,GBP,ATM,Purchase,Completed,1,0,1,1,1,0,0,1,Internal High Risk,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00008067,2026-04-14 11:10:42,CUST000617,Isabella Walker,Spain,Low,Retail,Pending Review,0,ACC000617,Current,Active,MER000098,Money Transfer Merchant 098,Money Transfer,France,Low,34.58,GBP,API,Purchase,Completed,1,0,0,1,0,1,0,1,Internal High Risk,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; KYC_ISSUE; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00005141,2026-01-20 12:31:27,CUST000535,Zara Clarke,Turkey,High,Retail,Verified,0,ACC001206,Savings,Active,MER000061,Crypto Exchange Merchant 061,Crypto Exchange,Germany,Low,28.36,GBP,Mobile Banking,Purchase,Completed,1,0,0,1,1,0,0,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00000074,2026-06-15 16:35:42,CUST000534,Aisha Thomas,Nigeria,High,Retail,Verified,0,ACC000213,Current,Active,MER000061,Crypto Exchange Merchant 061,Crypto Exchange,Germany,Low,27.14,GBP,Branch,Purchase,Pending,1,0,0,1,1,0,0,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; WATCHLIST_CROSS_BORDER_COMBINATION,6,2026-07-11T20:43:40
TXN00009008,2026-06-14 03:38:24,CUST000064,Fatima Ali,Italy,Low,Retail,Verified,0,ACC000291,Current,Active,MER000098,Money Transfer Merchant 098,Money Transfer,France,Low,26.85,GBP,ATM,Purchase,Failed,1,0,1,1,0,0,0,1,Internal High Risk,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_MERCHANT_CATEGORY; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; NON_STANDARD_TRANSACTION_STATUS; WATCHLIST_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
