customer_id,full_name,customer_segment,customer_country,country_risk_level,kyc_status,pep_flag,transaction_count,total_transaction_amount,average_transaction_amount,max_transaction_amount,average_transaction_risk_score,max_transaction_risk_score,alert_count,critical_transaction_count,high_transaction_count,medium_transaction_count,watchlist_match_count,suspicious_label_count,customer_rule_based_risk_score,customer_risk_band,customer_review_priority
CUST000291,Adam Patel,Retail,Germany,Low,Pending Review,1,10,919.4,91.94,195.92,71.8,100,10,3,7,0,0,10,100.0,Critical,P1
CUST000163,James Miller,Corporate,United Arab Emirates,Medium,Verified,1,10,679.51,67.95,234.56,60.2,100,10,2,5,3,2,10,100.0,Critical,P1
CUST000760,James Robinson,SME,Nigeria,High,Pending Review,0,10,631.94,63.19,144.44,66.7,98,10,5,1,4,1,10,100.0,Critical,P1
CUST000101,Noah Walker,Retail,Italy,Low,Verified,1,10,460.39,46.04,247.01,64.5,100,10,4,2,4,2,10,100.0,Critical,P1
CUST000151,Ali Wilson,Retail,United Arab Emirates,Medium,Pending Review,1,10,374.19,37.42,110.85,68.6,100,10,4,6,0,0,10,100.0,Critical,P1
CUST000119,Adam Hall,Retail,Germany,Low,Verified,1,9,611.14,67.9,241.7,62.78,100,9,2,4,3,2,8,100.0,Critical,P1
CUST000661,Aisha Ahmed,Retail,Canada,Low,Pending Review,0,8,736.03,92.0,419.79,85.5,100,8,8,0,0,8,4,100.0,Critical,P1
CUST000741,Grace Wright,Retail,Turkey,High,Verified,0,8,528.57,66.07,195.25,81.5,100,8,4,3,1,8,4,100.0,Critical,P1
CUST000757,Lucas Clarke,Retail,Nigeria,High,Verified,0,12,418.82,34.9,71.46,54.08,100,8,3,3,2,4,5,100.0,Critical,P1
CUST000536,Sophia Wilson,Retail,United States,Low,Pending Review,1,8,205.03,25.63,87.28,78.12,100,8,4,4,0,2,8,100.0,Critical,P1
CUST000738,Muhammad Clarke,SME,Spain,Low,Verified,0,6,227.48,37.91,70.46,76.0,100,6,3,3,0,6,1,100.0,Critical,P1
CUST000522,Ali Young,SME,Netherlands,Low,Verified,0,5,325.32,65.06,149.25,80.2,89,5,4,1,0,5,1,100.0,Critical,P1
CUST000549,Maya Smith,Retail,Nigeria,High,Failed,0,12,975.63,81.3,199.63,63.67,100,12,3,3,6,1,12,99.92,Critical,P1
CUST000631,Lucas Wright,Retail,Nigeria,High,Failed,0,8,310.34,38.79,116.92,71.38,98,8,5,1,2,1,8,98.94,Critical,P1
CUST000191,Adam Miller,Retail,Netherlands,Low,Failed,0,15,2554.23,170.28,1751.09,56.73,87,15,3,6,6,1,12,96.33,Critical,P1
CUST000627,Daniel Taylor,SME,Germany,Low,Verified,0,5,313.93,62.79,268.41,67.0,83,5,2,3,0,5,0,96.1,Critical,P1
CUST000862,Sophia Ali,Retail,India,Medium,Verified,1,7,324.25,46.32,104.07,68.29,100,7,2,3,2,2,7,96.07,Critical,P1
CUST000830,Amelia Hall,Retail,Singapore,Low,Pending Review,0,17,1092.91,64.29,237.69,49.65,100,16,2,4,10,1,9,95.41,Critical,P1
CUST000633,James Clarke,SME,United Kingdom,Low,Verified,0,14,747.55,53.4,267.01,42.43,98,9,2,2,5,3,3,94.71,Critical,P1
CUST000030,Leo Wilson,Retail,Nigeria,High,Verified,0,15,6213.97,414.26,4283.24,47.4,100,12,1,5,6,1,8,93.85,Critical,P1
CUST000519,Oliver Thomas,Retail,Turkey,High,Failed,0,8,4082.76,510.34,3561.53,71.38,100,8,3,3,2,0,8,93.84,Critical,P1
CUST000910,Mia Brown,Retail,Turkey,High,Failed,0,11,2325.33,211.39,1856.11,65.64,87,11,4,3,4,0,11,93.56,Critical,P1
CUST000069,Leo Wright,Retail,Nigeria,High,Failed,0,13,569.08,43.78,92.26,64.15,81,13,5,3,5,0,13,93.49,Critical,P1
CUST000707,Sophia Ahmed,Retail,Spain,Low,Verified,0,16,578.67,36.17,120.21,41.44,93,9,3,1,5,3,6,93.21,Critical,P1
CUST000776,Mia Clarke,Retail,United States,Low,Failed,0,10,536.1,53.61,198.18,57.2,93,10,3,2,5,1,7,93.15,Critical,P1
CUST000419,Sophia Thomas,Retail,Netherlands,Low,Pending Review,0,16,6751.08,421.94,6024.79,52.94,97,16,2,6,8,0,10,92.88,Critical,P1
CUST000328,Adam Miller,Corporate,Spain,Low,Pending Review,0,11,5944.19,540.38,5698.9,55.27,100,11,2,4,5,0,7,92.82,Critical,P1
CUST000617,Isabella Walker,Retail,Spain,Low,Pending Review,0,12,438.84,36.57,135.8,53.42,100,12,2,2,8,1,8,92.36,Critical,P1
CUST000754,Lucas Khan,Retail,Turkey,High,Verified,0,13,2295.64,176.59,689.11,47.85,100,11,1,4,6,1,8,91.96,Critical,P1
CUST000042,Grace Green,Retail,Singapore,Low,Pending Review,0,14,6379.42,455.67,5421.43,50.0,100,14,2,2,10,1,8,91.5,Critical,P1
CUST000755,Hannah Ahmed,SME,Nigeria,High,Verified,0,16,633.11,39.57,105.65,45.69,100,12,1,4,7,1,10,91.42,Critical,P1
CUST000658,Sophia Davies,Retail,France,Low,Verified,1,13,841.14,64.7,220.5,50.62,86,13,2,3,8,2,12,91.36,Critical,P1
CUST000188,Leo Davies,Retail,Nigeria,High,Verified,0,12,13854.48,1154.54,13347.15,48.42,100,9,2,3,4,1,8,91.1,Critical,P1
CUST000430,Ali Taylor,Retail,India,Medium,Verified,0,10,1007.17,100.72,400.26,46.3,94,8,3,0,5,3,1,90.88,Critical,P1
CUST000386,Ali Miller,Retail,Italy,Low,Pending Review,0,10,582.35,58.23,197.14,54.7,93,10,1,4,5,1,8,90.52,Critical,P1
CUST000493,Adam Ahmed,Retail,Nigeria,High,Verified,0,12,2519.3,209.94,2219.1,49.08,100,9,1,4,4,1,7,90.27,Critical,P1
CUST000591,Ali Hall,Retail,Pakistan,Medium,Verified,1,16,7983.63,498.98,7100.62,58.25,88,16,2,9,5,0,16,90.16,Critical,P1
CUST000058,Maya Clarke,Retail,Italy,Low,Verified,1,9,880.74,97.86,340.8,53.22,95,9,2,1,6,2,8,90.06,Critical,P1
CUST000333,Maya Green,Corporate,France,Low,Pending Review,0,8,4986.38,623.3,3007.36,58.12,100,8,2,2,4,1,6,89.53,Critical,P1
CUST000999,Daniel Robinson,Retail,Spain,Low,Pending Review,0,11,4100.25,372.75,3606.42,49.73,100,11,2,1,8,1,6,89.43,Critical,P1
CUST000880,Daniel Patel,Retail,Italy,Low,Pending Review,0,9,533.05,59.23,144.97,53.67,93,9,1,4,4,1,7,88.27,Critical,P1
CUST000112,Daniel Thomas,Retail,Canada,Low,Pending Review,0,8,304.67,38.08,86.53,56.88,100,8,1,3,4,1,5,88.22,Critical,P1
CUST000375,Daniel Brown,Retail,Nigeria,High,Verified,0,17,10572.66,621.92,4624.73,46.41,88,11,3,2,6,1,10,88.2,Critical,P1
CUST000012,Maya Walker,Retail,Spain,Low,Failed,0,11,2718.42,247.13,2235.06,47.55,100,11,1,2,8,1,5,87.89,Critical,P1
CUST000902,Zara Khan,Retail,Nigeria,High,Verified,0,13,609.21,46.86,209.47,44.92,100,8,1,4,3,1,7,87.23,Critical,P1
CUST000948,Grace Young,Retail,Singapore,Low,Failed,0,15,928.86,61.92,232.3,51.27,85,15,2,3,10,1,11,87.07,Critical,P1
CUST000213,Daniel Smith,SME,India,Medium,Pending Review,0,13,993.6,76.43,398.76,47.46,91,12,2,2,8,1,7,86.82,Critical,P1
CUST000247,Isabella Thomas,Retail,Turkey,High,Verified,0,14,654.59,46.76,138.97,43.0,100,9,1,3,5,1,6,86.75,Critical,P1
CUST000322,Mia Ahmed,Retail,Singapore,Low,Verified,1,9,2110.6,234.51,1724.57,54.89,100,9,2,2,5,0,9,86.72,Critical,P1
CUST000706,Maya Taylor,Retail,Spain,Low,Verified,0,15,755.51,50.37,167.5,34.47,98,9,1,2,6,2,2,85.72,Critical,P1
CUST000886,Oliver Patel,Retail,Nigeria,High,Verified,0,12,784.22,65.35,156.17,46.58,100,8,1,3,4,1,5,85.64,Critical,P1
CUST000072,Leo Ahmed,Retail,Pakistan,Medium,Pending Review,0,12,808.2,67.35,286.43,47.67,90,10,1,3,6,1,7,85.42,Critical,P1
CUST000420,Daniel Jones,Retail,Nigeria,High,Verified,0,12,766.66,63.89,274.07,44.92,100,8,1,3,4,1,6,85.23,Critical,P1
CUST000118,Lucas Brown,Retail,United Kingdom,Low,Pending Review,0,9,4533.64,503.74,4021.69,59.0,91,9,3,1,5,0,7,84.7,Critical,P1
CUST000850,Mia Brown,Retail,Turkey,High,Pending Review,0,18,913.83,50.77,210.52,56.72,77,18,3,3,12,0,17,83.83,Critical,P1
CUST000637,Isabella Wright,Retail,Turkey,High,Verified,0,12,679.28,56.61,188.12,46.5,100,8,1,2,5,1,8,83.62,Critical,P1
CUST000539,Zara Wright,SME,Singapore,Low,Pending Review,0,10,4992.37,499.24,4699.89,48.9,85,10,1,3,6,1,5,83.48,Critical,P1
CUST000138,Mia Hall,Retail,Spain,Low,Pending Review,0,11,6731.97,612.0,6345.75,44.64,96,10,1,3,6,0,5,83.36,Critical,P1
CUST000889,Isabella Miller,SME,India,Medium,Pending Review,0,8,1505.73,188.22,862.24,52.5,100,8,1,1,6,1,6,83.12,Critical,P1
CUST000534,Aisha Thomas,Retail,Nigeria,High,Verified,0,13,893.72,68.75,263.05,43.46,100,8,1,2,5,1,4,82.86,Critical,P1
CUST000111,Daniel Clarke,Retail,France,Low,Pending Review,0,14,4439.53,317.11,3736.28,53.5,81,14,1,6,7,0,11,82.82,Critical,P1
CUST000181,Leo Davies,Retail,Turkey,High,Verified,0,7,169.81,24.26,45.71,51.57,97,7,1,2,4,1,6,81.54,Critical,P1
CUST000264,Lucas Walker,Retail,Turkey,High,Verified,0,14,1773.37,126.67,1132.71,45.57,78,12,1,4,7,1,7,81.49,Critical,P1
CUST000713,Ali Clarke,SME,United Kingdom,Low,Pending Review,0,11,720.32,65.48,220.89,42.36,93,11,1,1,9,1,4,81.44,Critical,P1
CUST000938,Grace Smith,Corporate,United Arab Emirates,Medium,Verified,0,10,799.67,79.97,266.95,39.2,88,6,2,1,3,3,0,81.4,Critical,P1
CUST000376,Oliver Smith,Retail,Singapore,Low,Pending Review,0,10,11223.03,1122.3,5840.77,56.3,76,10,1,5,4,0,8,81.28,Critical,P1
CUST000243,Zara Green,Retail,Nigeria,High,Verified,0,8,554.32,69.29,147.3,52.62,100,5,1,3,1,1,5,81.16,Critical,P1
CUST000853,Isabella Walker,SME,Turkey,High,Verified,0,16,769.99,48.12,236.05,44.0,78,12,1,4,7,1,7,81.1,Critical,P1
CUST000353,Oliver Hussain,SME,Nigeria,High,Verified,0,11,1007.42,91.58,298.78,44.36,100,6,1,3,2,1,6,81.09,Critical,P1
CUST000285,Aisha Miller,SME,United Arab Emirates,Medium,Failed,0,8,7236.48,904.56,6685.26,50.88,96,8,1,3,4,0,4,80.92,Critical,P1
CUST000352,Zara Brown,Retail,Italy,Low,Verified,0,14,4410.76,315.05,3243.9,38.57,93,10,1,1,8,1,3,80.49,Critical,P1
CUST000807,Amelia Ali,Retail,Singapore,Low,Verified,0,18,1152.3,64.02,312.67,33.67,93,11,2,0,9,1,2,80.27,Critical,P1
CUST000517,Mia Wilson,Retail,Canada,Low,Failed,0,8,284.3,35.54,87.25,49.88,99,8,1,0,7,1,6,80.02,Critical,P1
CUST000681,Fatima Walker,Retail,Turkey,High,Verified,0,5,370.66,74.13,199.05,55.2,100,4,1,1,2,2,2,79.8,Critical,P1
CUST000032,Amelia Brown,SME,Turkey,High,Verified,0,9,1589.96,176.66,891.68,47.11,100,6,1,2,3,1,4,79.78,Critical,P1
CUST000529,Fatima Ali,Private Banking,United States,Low,Pending Review,0,9,9040.18,1004.46,8682.63,46.89,100,8,1,2,5,0,4,79.72,Critical,P1
CUST000380,Adam Hussain,SME,India,Medium,Verified,0,18,3230.7,179.48,1966.98,34.33,98,12,1,0,11,1,5,79.68,Critical,P1
CUST000321,Oliver Jones,Retail,United Arab Emirates,Medium,Verified,0,15,1616.65,107.78,420.41,33.53,98,10,1,0,9,1,1,79.48,Critical,P1
CUST001000,Hannah Hussain,Private Banking,Germany,Low,Pending Review,0,12,872.85,72.74,196.66,43.42,88,12,1,1,10,1,1,79.46,Critical,P1
CUST000329,Noah Thomas,Private Banking,France,Low,Verified,0,13,3033.2,233.32,2600.18,41.62,89,11,1,1,9,1,4,79.46,Critical,P1
CUST000043,Isabella Brown,Retail,Turkey,High,Verified,0,11,375.34,34.12,66.51,45.45,100,6,1,2,3,1,6,79.36,Critical,P1
CUST000390,Ethan Robinson,Retail,Nigeria,High,Verified,0,11,4131.31,375.57,3378.92,43.64,100,6,1,2,3,1,4,78.91,Critical,P1
CUST000106,Hannah Patel,Retail,Singapore,Low,Pending Review,0,8,6428.18,803.52,4074.3,53.88,80,8,1,3,4,1,6,78.47,Critical,P1
CUST000897,Fatima Green,Retail,Turkey,High,Verified,0,12,878.43,73.2,179.83,41.67,100,7,1,1,5,1,6,78.42,Critical,P1
CUST000846,Ali Jones,Retail,United Arab Emirates,Medium,Pending Review,0,7,242.72,34.67,84.48,49.86,93,7,2,0,5,1,3,78.32,Critical,P1
CUST000172,Ali Wilson,Retail,United Arab Emirates,Medium,Verified,0,11,771.58,70.14,243.51,45.18,84,8,1,3,4,1,3,78.1,Critical,P1
CUST000258,Ethan Jones,Retail,Germany,Low,Verified,1,15,1136.96,75.8,213.77,48.47,82,15,1,3,11,0,13,78.02,Critical,P1
CUST000026,James Hall,SME,United Arab Emirates,Medium,Verified,0,9,4569.63,507.74,4077.2,43.44,98,7,1,1,5,1,4,77.96,Critical,P1
CUST000974,Zara Brown,Retail,Pakistan,Medium,Failed,0,13,750.31,57.72,250.5,47.31,82,13,1,3,9,0,8,77.73,Critical,P1
CUST000174,Grace Taylor,Retail,Singapore,Low,Verified,0,12,527.23,43.94,117.59,36.25,88,4,1,3,0,3,1,77.66,Critical,P1
CUST000240,Isabella Hall,Private Banking,Italy,Low,Pending Review,0,12,5775.87,481.32,4979.68,48.33,76,12,1,4,7,0,7,77.28,Critical,P1
CUST000959,Hannah Wright,Retail,Netherlands,Low,Verified,0,14,4015.63,286.83,2390.67,35.64,83,9,1,3,5,1,3,77.26,Critical,P1
CUST000963,Lucas Young,Retail,Singapore,Low,Failed,0,8,367.39,45.92,121.1,52.88,91,8,1,2,5,0,6,77.17,Critical,P1
CUST000748,Daniel Khan,Retail,France,Low,Verified,0,12,5325.64,443.8,2150.66,36.67,100,7,1,1,5,1,2,77.17,Critical,P1
CUST000156,Aisha Patel,Retail,Canada,Low,Verified,0,15,9836.62,655.77,9146.82,30.8,98,6,1,3,2,1,5,76.8,Critical,P1
CUST000281,Leo Hall,Retail,India,Medium,Verified,0,13,11787.06,906.7,6027.37,34.62,100,5,3,0,2,1,3,76.66,Critical,P1
CUST000071,Mia Wright,Retail,Singapore,Low,Failed,0,17,930.94,54.76,146.1,44.47,81,16,1,3,12,0,10,76.57,Critical,P1
CUST000942,Fatima Thomas,SME,Turkey,High,Verified,0,19,726.69,38.25,120.11,42.47,71,14,0,7,7,1,7,76.57,Critical,P1
CUST000316,Zara Ali,Retail,United States,Low,Verified,0,13,3263.79,251.06,2686.17,38.23,73,8,0,5,3,2,5,76.41,Critical,P1
CUST000371,Aisha Hall,Retail,United Arab Emirates,Medium,Verified,0,10,698.32,69.83,309.69,35.8,83,5,2,1,2,3,0,76.3,Critical,P1
CUST000044,Lucas Walker,Retail,Pakistan,Medium,Pending Review,0,6,8251.42,1375.24,7977.41,54.5,97,6,1,2,3,0,4,76.28,Critical,P1
CUST000710,Leo Walker,Retail,United Kingdom,Low,Pending Review,0,11,416.92,37.9,90.94,45.91,75,11,1,2,8,1,5,76.23,Critical,P1
CUST000692,Maya Patel,SME,Turkey,High,Verified,0,9,5687.82,631.98,5413.59,50.89,81,8,1,4,3,0,7,76.17,Critical,P1
CUST000976,Muhammad Young,SME,Turkey,High,Verified,0,11,4963.3,451.21,4270.4,45.55,75,9,1,3,5,1,5,76.14,Critical,P1
CUST000306,Noah Ali,Retail,Germany,Low,Verified,1,13,825.6,63.51,197.78,46.62,81,13,2,1,10,0,13,76.1,Critical,P1
CUST000993,Aisha Thomas,SME,India,Medium,Pending Review,0,9,358.86,39.87,84.65,49.89,81,9,1,3,5,0,5,75.92,Critical,P1
CUST000050,Adam Wright,Retail,Turkey,High,Pending Review,0,9,298.83,33.2,57.88,58.78,76,9,1,3,5,0,9,75.9,Critical,P1
CUST000531,Maya Green,Retail,Nigeria,High,Verified,0,7,285.93,40.85,95.43,47.57,100,4,1,2,1,1,3,75.89,Critical,P1
CUST000257,Lucas Green,Retail,Netherlands,Low,Pending Review,0,10,1873.35,187.33,1031.28,50.5,73,10,0,5,5,0,6,75.47,Critical,P1
CUST000484,Noah Wright,SME,Germany,Low,Pending Review,0,12,4448.59,370.72,3544.79,48.17,76,12,1,3,8,0,6,75.24,Critical,P1
CUST000911,Ethan Clarke,Retail,France,Low,Verified,1,8,316.24,39.53,117.58,53.5,81,8,1,3,4,0,8,74.82,High,P2
CUST000701,Sophia Ali,Retail,Italy,Low,Verified,0,18,4057.87,225.44,3135.37,32.72,88,9,1,1,7,1,3,74.78,High,P2
CUST000426,Aisha Wright,Retail,Turkey,High,Verified,0,16,743.53,46.47,298.69,43.12,71,9,0,6,3,1,7,74.73,High,P2
CUST000446,Amelia Walker,SME,United States,Low,Verified,0,10,656.65,65.66,149.81,35.9,88,6,2,0,4,2,2,74.58,High,P2
CUST000341,Mia Wright,SME,United States,Low,Verified,0,15,3339.91,222.66,2839.69,36.6,65,10,0,4,6,2,4,74.4,High,P2
CUST000526,Grace Davies,Retail,United Kingdom,Low,Verified,0,9,5787.05,643.01,5520.02,41.44,93,5,2,1,2,1,3,74.21,High,P2
CUST000871,Oliver Wilson,Retail,United States,Low,Verified,0,16,1129.51,70.59,550.23,34.12,79,8,2,2,4,1,3,74.08,High,P2
CUST000016,James Taylor,SME,Spain,Low,Pending Review,0,6,401.0,66.83,118.75,56.0,91,6,1,2,3,0,4,73.95,High,P2
CUST000457,Daniel Hussain,Retail,Nigeria,High,Verified,1,7,605.1,86.44,153.59,61.86,81,7,2,1,4,0,7,73.92,High,P2
CUST000461,Maya Clarke,Retail,Spain,Low,Verified,0,14,1067.5,76.25,223.1,29.21,88,6,1,2,3,2,1,73.9,High,P2
CUST000064,Fatima Ali,Retail,Italy,Low,Verified,0,14,1040.72,74.34,575.49,35.86,93,8,1,0,7,1,2,73.82,High,P2
CUST000093,James Ahmed,Retail,Italy,Low,Verified,0,14,1010.76,72.2,306.3,37.71,83,7,1,3,3,1,4,73.78,High,P2
CUST000571,Fatima Patel,SME,Spain,Low,Pending Review,0,8,1710.66,213.83,1165.16,43.38,93,6,1,1,4,1,4,73.69,High,P2
CUST000699,Leo Young,SME,Turkey,High,Pending Review,0,7,860.82,122.97,316.5,60.86,81,7,2,1,4,0,6,73.67,High,P2
CUST000870,Fatima Patel,Retail,United Kingdom,Low,Verified,0,16,2660.98,166.31,1802.02,34.62,73,9,0,3,6,2,3,73.5,High,P2
CUST000982,Fatima Davies,Retail,United Kingdom,Low,Verified,0,12,981.17,81.76,325.09,35.58,88,8,1,1,6,1,2,73.5,High,P2
CUST000323,Maya Smith,Retail,France,Low,Verified,0,9,2980.84,331.2,2089.17,40.78,94,6,1,1,4,1,3,73.5,High,P2
CUST000705,Fatima Taylor,Retail,Turkey,High,Verified,0,14,9013.79,643.84,8097.29,46.14,71,11,0,6,5,0,8,73.48,High,P2
CUST000823,Aisha Wilson,Retail,United Arab Emirates,Medium,Verified,0,14,679.75,48.55,94.93,31.14,88,6,2,0,4,2,1,73.39,High,P2
CUST000813,Adam Ali,Retail,United States,Low,Verified,0,12,6970.22,580.85,6331.18,33.92,93,7,1,1,5,1,2,73.33,High,P2
CUST000787,Leo Young,Retail,Nigeria,High,Verified,0,11,4553.6,413.96,4304.78,50.18,75,8,1,4,3,0,8,73.3,High,P2
CUST000736,James Davies,Retail,Spain,Low,Verified,0,12,965.63,80.47,333.57,32.67,98,6,1,1,4,1,3,73.27,High,P2
CUST000532,Lucas Davies,Retail,Spain,Low,Pending Review,0,11,394.83,35.89,71.75,48.45,68,10,0,6,4,0,7,72.71,High,P2
CUST000076,Mia Young,Retail,Pakistan,Medium,Pending Review,0,8,414.95,51.87,141.06,51.88,77,8,1,3,4,0,5,72.62,High,P2
CUST000449,Zara Khan,SME,Singapore,Low,Verified,0,12,13077.9,1089.82,12618.29,38.33,82,8,2,0,6,1,3,72.48,High,P2
CUST000725,Ethan Young,Corporate,India,Medium,Pending Review,0,10,6111.12,611.11,3023.08,47.3,77,9,2,1,6,0,5,72.47,High,P2
CUST000759,Ethan Smith,SME,Canada,Low,Verified,0,11,3333.92,303.08,2562.11,33.36,100,6,1,0,5,1,2,72.34,High,P2
CUST000573,Hannah Clarke,Retail,Turkey,High,Verified,0,10,4699.99,470.0,4284.29,45.9,73,7,0,3,4,2,5,72.32,High,P2
CUST000792,Noah Khan,Retail,Canada,Low,Pending Review,0,16,611.53,38.22,132.13,46.5,68,16,0,6,10,0,10,72.22,High,P2
CUST000028,Adam Smith,Retail,Nigeria,High,Verified,0,10,400.37,40.04,110.09,45.5,73,8,0,4,4,1,5,72.22,High,P2
CUST000105,Leo Thomas,Retail,France,Low,Pending Review,0,8,3899.91,487.49,3377.85,45.88,86,8,2,0,6,0,3,72.17,High,P2
CUST000827,Adam Hall,Retail,Turkey,High,Verified,0,17,1334.14,78.48,389.71,37.12,73,9,0,4,5,1,4,72.13,High,P2
CUST000178,Grace Davies,SME,India,Medium,Verified,0,17,12567.59,739.27,8184.43,34.18,81,8,1,4,3,0,6,72.0,High,P2
CUST000139,Hannah Patel,Retail,Turkey,High,Verified,0,8,1138.13,142.27,811.03,55.75,62,8,0,7,1,1,7,71.84,High,P2
CUST000957,Daniel Ali,Retail,India,Medium,Verified,0,11,870.62,79.15,262.11,37.91,83,7,1,2,4,1,3,71.83,High,P2
CUST000121,Daniel Miller,Retail,Canada,Low,Verified,0,11,1888.71,171.7,1313.28,35.91,88,8,1,0,7,1,1,71.58,High,P2
CUST000791,Grace Wright,Retail,United Arab Emirates,Medium,Verified,0,9,18465.05,2051.67,15160.92,45.89,89,6,2,1,3,0,5,71.52,High,P2
CUST000797,Adam Wright,Corporate,Pakistan,Medium,Verified,0,11,673.84,61.26,204.19,33.36,93,5,1,2,2,1,3,71.19,High,P2
CUST000274,Ethan Patel,Retail,United Kingdom,Low,Failed,0,9,232.88,25.88,85.55,46.78,81,8,1,2,5,0,5,71.15,High,P2
CUST000470,Isabella Hussain,Retail,Turkey,High,Verified,0,8,1395.6,174.45,694.4,41.25,97,4,1,1,2,1,3,70.96,High,P2
CUST000629,Sophia Miller,Retail,Turkey,High,Verified,0,8,3379.89,422.49,2929.16,46.38,76,7,1,2,4,1,4,70.8,High,P2
CUST000185,Oliver Clarke,Private Banking,Nigeria,High,Verified,0,12,808.26,67.36,492.17,50.5,67,9,0,8,1,0,9,70.78,High,P2
CUST000726,Zara Thomas,Retail,Netherlands,Low,Verified,0,13,11374.62,874.97,10363.54,31.69,93,6,1,1,4,1,1,70.77,High,P2
CUST000732,Amelia Hall,SME,France,Low,Verified,0,17,6873.69,404.33,5843.08,34.29,87,8,1,2,5,0,4,70.72,High,P2
CUST000654,Sophia Hall,Retail,India,Medium,Verified,0,9,7542.48,838.05,7088.15,39.22,93,6,1,0,5,1,3,70.66,High,P2
CUST000476,Zara Brown,Retail,Germany,Low,Pending Review,0,10,572.76,57.28,223.1,46.8,73,10,0,3,7,0,4,70.55,High,P2
CUST000752,Mia Young,Corporate,United States,Low,Pending Review,0,11,5000.69,454.61,4390.9,47.27,68,11,0,4,7,0,7,70.42,High,P2
CUST000844,Noah Davies,Retail,United States,Low,Verified,0,13,616.29,47.41,110.37,32.23,83,6,1,1,4,2,0,70.41,High,P2
CUST000480,Leo Davies,Corporate,Turkey,High,Verified,0,9,397.55,44.17,118.92,49.33,71,8,0,5,3,0,7,70.28,High,P2
CUST000217,Oliver Ahmed,SME,United Kingdom,Low,Pending Review,0,10,632.67,63.27,228.73,47.4,72,10,0,3,7,0,8,70.25,High,P2
CUST000224,Lucas Green,Retail,Singapore,Low,Pending Review,0,10,3705.37,370.54,3260.4,44.8,73,10,0,3,7,0,6,70.05,High,P2
CUST000851,Maya Wilson,Corporate,Turkey,High,Verified,0,6,10457.65,1742.94,9362.75,52.5,73,5,0,3,2,2,2,69.97,High,P2
CUST000039,Aisha Wilson,Retail,Italy,Low,Verified,0,13,850.79,65.45,234.31,29.31,88,5,1,1,3,2,0,69.93,High,P2
CUST000702,Sophia Khan,Retail,United Arab Emirates,Medium,Verified,0,11,4001.43,363.77,1669.54,38.27,83,8,1,0,7,1,4,69.92,High,P2
CUST000537,Lucas Walker,SME,India,Medium,Verified,0,10,729.51,72.95,295.43,36.0,93,6,1,0,5,1,3,69.85,High,P2
CUST000709,Ethan Davies,Retail,France,Low,Pending Review,0,12,734.74,61.23,165.49,41.58,76,12,1,1,10,0,5,69.6,High,P2
CUST000770,Grace Green,Retail,Pakistan,Medium,Verified,0,9,8531.53,947.95,8228.9,36.89,83,4,1,2,1,2,2,69.57,High,P2
CUST000494,Ethan Ahmed,Retail,Spain,Low,Verified,0,12,6029.29,502.44,5514.11,36.58,83,8,1,0,7,1,0,69.5,High,P2
