ml_alert_id,ml_alert_status,ml_alert_type,ml_alert_priority,ml_alert_owner,ml_recommended_action,transaction_id,transaction_timestamp,customer_id,full_name,account_id,merchant_id,merchant_name,merchant_category,amount,currency,channel,status,rule_based_risk_score,risk_band,alert_priority,ml_anomaly_score,anomaly_score_percentile,ml_anomaly_flag,ml_anomaly_band,ml_reason_codes,combined_risk_signal,suspicious_label,ml_scored_at
ML-ANOMALY-000011,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00007344,2026-02-10 16:56:20,CUST000583,Fatima Wilson,ACC000166,MER000198,Pharmacy Merchant 198,Pharmacy,164.85,GBP,API,Failed,63,High,P2,0.06269437908233555,99.9,1,Critical,WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000012,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00004215,2026-03-24 09:02:06,CUST000692,Maya Patel,ACC000534,MER000227,Hotels Merchant 227,Hotels,5413.59,USD,Branch,Failed,71,High,P2,0.060776718694676046,99.89,1,Critical,UNUSUALLY_HIGH_AMOUNT; CROSS_BORDER_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000013,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00008257,2026-01-24 00:57:12,CUST000390,Ethan Robinson,ACC000777,MER000199,Travel Merchant 199,Travel,313.66,EUR,API,Failed,38,Medium,P3,0.060741186736947395,99.88,1,Critical,UNUSUAL_TRANSACTION_HOUR; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000014,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00006548,2026-03-30 20:42:52,CUST000946,Adam Khan,ACC000128,MER000070,Travel Merchant 070,Travel,29.96,USD,Card Present,Pending,28,Low,No Alert,0.060288428496943935,99.87,1,Critical,CROSS_BORDER_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,ML Only,0,2026-07-11T20:44:26
ML-ANOMALY-000015,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00007599,2026-03-01 05:21:17,CUST000785,Leo Hall,ACC000323,MER000164,Gambling Merchant 164,Gambling,616.6,GBP,Card Present,Reversed,81,Critical,P1,0.057703043753765004,99.86,1,Critical,CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000016,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003227,2026-04-20 06:53:31,CUST000947,Amelia Brown,ACC001001,MER000085,Hotels Merchant 085,Hotels,3122.2,EUR,E-Commerce,Completed,71,High,P2,0.0576194371015073,99.85,1,Critical,CROSS_BORDER_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000017,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00009687,2026-04-23 17:27:25,CUST000728,Lucas Davies,ACC001138,MER000198,Pharmacy Merchant 198,Pharmacy,2617.46,GBP,Branch,Completed,96,Critical,P1,0.05713379656724027,99.84,1,Critical,CROSS_BORDER_PATTERN; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000018,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00009023,2026-02-01 04:10:12,CUST000550,Mia Thomas,ACC000606,MER000056,Crypto Exchange Merchant 056,Crypto Exchange,4674.42,USD,Mobile Banking,Pending,71,High,P2,0.057040635006902374,99.83,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000019,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003013,2026-01-12 10:44:31,CUST000497,Grace Ahmed,ACC000057,MER000198,Pharmacy Merchant 198,Pharmacy,163.19,EUR,API,Reversed,83,Critical,P1,0.0558988335368773,99.82,1,Critical,CROSS_BORDER_PATTERN; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000020,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003093,2026-04-11 19:10:38,CUST000529,Fatima Ali,ACC000296,MER000242,Cash Withdrawal Merchant 242,Cash Withdrawal,8682.63,GBP,E-Commerce,Completed,100,Critical,P1,0.055801262681344777,99.81,1,Critical,UNUSUALLY_HIGH_AMOUNT; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000021,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00005461,2026-04-01 01:37:55,CUST000741,Grace Wright,ACC001081,MER000181,Restaurants Merchant 181,Restaurants,74.93,USD,Mobile Banking,Completed,63,High,P2,0.05500764863344321,99.8,1,Critical,UNUSUAL_TRANSACTION_HOUR; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000022,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00007979,2026-03-22 00:46:22,CUST000846,Ali Jones,ACC000816,MER000198,Pharmacy Merchant 198,Pharmacy,84.48,GBP,Mobile Banking,Completed,100,Critical,P1,0.053663764956946025,99.79,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; WATCHLIST_LINKED_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000023,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00006250,2026-02-19 07:06:00,CUST000163,James Miller,ACC000890,MER000198,Pharmacy Merchant 198,Pharmacy,4.82,GBP,Branch,Completed,98,Critical,P1,0.05311163702614852,99.78,1,Critical,CROSS_BORDER_PATTERN; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000024,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00007495,2026-02-06 04:08:21,CUST000185,Oliver Clarke,ACC001193,MER000021,Crypto Exchange Merchant 021,Crypto Exchange,492.17,GBP,ATM,Failed,76,Critical,P1,0.0528168930194719,99.77,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000025,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00004233,2026-06-07 21:06:01,CUST000453,Mia Wilson,ACC000286,MER000069,Pharmacy Merchant 069,Pharmacy,50.62,EUR,Branch,Failed,5,Low,No Alert,0.05182598575628017,99.76,1,Critical,TOP_1_PERCENT_ANOMALY_SCORE,ML Only,0,2026-07-11T20:44:26
ML-ANOMALY-000026,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00008897,2026-02-11 17:52:10,CUST000760,James Robinson,ACC000340,MER000198,Pharmacy Merchant 198,Pharmacy,47.9,EUR,API,Completed,98,Critical,P1,0.051058681241037185,99.75,1,Critical,CROSS_BORDER_PATTERN; WATCHLIST_LINKED_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000027,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003039,2026-04-11 00:36:06,CUST000426,Aisha Wright,ACC000023,MER000198,Pharmacy Merchant 198,Pharmacy,50.06,GBP,ATM,Pending,68,High,P2,0.050486858846261806,99.74,1,Critical,UNUSUAL_TRANSACTION_HOUR; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000028,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00000959,2026-05-07 04:47:57,CUST000069,Leo Wright,ACC001289,MER000190,Restaurants Merchant 190,Restaurants,92.26,EUR,Card Present,Reversed,63,High,P2,0.05047020668538238,99.73,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000029,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00005397,2026-05-01 05:44:23,CUST000662,Ali Taylor,ACC000049,MER000128,Hotels Merchant 128,Hotels,55.12,EUR,ATM,Failed,10,Low,No Alert,0.05017073423230367,99.72,1,Critical,TOP_1_PERCENT_ANOMALY_SCORE,ML Only,0,2026-07-11T20:44:26
ML-ANOMALY-000030,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00008003,2026-05-30 22:55:35,CUST000688,Oliver Clarke,ACC000156,MER000229,Restaurants Merchant 229,Restaurants,11230.78,GBP,Branch,Pending,76,Critical,P1,0.04935386833107447,99.71,1,Critical,UNUSUALLY_HIGH_AMOUNT; CROSS_BORDER_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000031,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00000078,2026-06-20 11:31:00,CUST000733,Maya Taylor,ACC000460,MER000032,Travel Merchant 032,Travel,7235.37,GBP,Card Present,Pending,66,High,P2,0.04844056729542745,99.7,1,Critical,UNUSUALLY_HIGH_AMOUNT; CROSS_BORDER_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000032,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00005409,2026-04-08 20:56:47,CUST000253,Sophia Clarke,ACC000834,MER000070,Travel Merchant 070,Travel,8603.35,GBP,API,Completed,55,High,P2,0.04837638908668884,99.69,1,Critical,UNUSUALLY_HIGH_AMOUNT; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000033,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003398,2026-05-07 07:15:55,CUST000163,James Miller,ACC000418,MER000113,Hotels Merchant 113,Hotels,234.56,EUR,API,Completed,85,Critical,P1,0.047293251118735835,99.68,1,Critical,CROSS_BORDER_PATTERN; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000034,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00008741,2026-03-11 02:58:06,CUST000725,Ethan Young,ACC000571,MER000069,Pharmacy Merchant 069,Pharmacy,6.39,GBP,API,Completed,35,Medium,P3,0.04725105699395249,99.67,1,Critical,UNUSUAL_TRANSACTION_HOUR; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000035,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00000021,2026-04-11 04:10:36,CUST000124,Daniel Hall,ACC000925,MER000243,Groceries Merchant 243,Groceries,29.2,USD,ATM,Failed,48,Medium,P3,0.04711896914914959,99.66,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000036,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00001142,2026-03-20 18:00:33,CUST000480,Leo Davies,ACC001207,MER000048,Pharmacy Merchant 048,Pharmacy,20.06,GBP,Branch,Reversed,33,Medium,P3,0.046608228224340076,99.65,1,Critical,CROSS_BORDER_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000037,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003259,2026-04-21 00:15:37,CUST000213,Daniel Smith,ACC000359,MER000023,Restaurants Merchant 023,Restaurants,39.57,GBP,API,Reversed,68,High,P2,0.04619802796772976,99.64,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000038,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00007413,2026-03-07 01:49:48,CUST000072,Leo Ahmed,ACC000576,MER000130,Restaurants Merchant 130,Restaurants,98.92,USD,ATM,Completed,63,High,P2,0.045500942949087686,99.63,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000039,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00005431,2026-01-28 03:30:00,CUST000013,Leo Hussain,ACC000385,MER000081,Electronics Merchant 081,Electronics,74.22,GBP,Card Present,Pending,38,Medium,P3,0.045440311511806275,99.62,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000040,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003332,2026-03-23 02:21:09,CUST000699,Leo Young,ACC000890,MER000216,Groceries Merchant 216,Groceries,244.03,USD,API,Completed,53,Medium,P3,0.04490099454675467,99.61,1,Critical,UNUSUAL_TRANSACTION_HOUR; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000041,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00001544,2026-05-14 19:18:46,CUST000759,Ethan Smith,ACC000269,MER000185,Gambling Merchant 185,Gambling,2562.11,USD,Mobile Banking,Completed,100,Critical,P1,0.04465136622456589,99.6,1,Critical,CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000042,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00002900,2026-06-16 22:47:54,CUST000109,Muhammad Ali,ACC000113,MER000145,Crypto Exchange Merchant 145,Crypto Exchange,63.54,USD,Branch,Pending,56,High,P2,0.04455858491366882,99.59,1,Critical,CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000043,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00008910,2026-06-15 04:19:34,CUST000699,Leo Young,ACC000890,MER000179,Cash Withdrawal Merchant 179,Cash Withdrawal,34.72,GBP,Card Present,Pending,82,Critical,P1,0.04454167224250982,99.58,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000044,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00006947,2026-04-13 02:50:23,CUST000679,Hannah Taylor,ACC000148,MER000120,Online Marketplace Merchant 120,Online Marketplace,15.74,USD,Mobile Banking,Pending,83,Critical,P1,0.04413590579578852,99.57,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000045,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00005454,2026-03-12 23:50:06,CUST000194,Grace Young,ACC001178,MER000209,Gambling Merchant 209,Gambling,2884.58,EUR,E-Commerce,Completed,79,Critical,P1,0.04402530119507764,99.56,1,Critical,CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000046,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00002019,2026-02-03 03:16:33,CUST000493,Adam Ahmed,ACC000494,MER000143,Cash Withdrawal Merchant 143,Cash Withdrawal,14.85,USD,ATM,Completed,100,Critical,P1,0.04388912856224236,99.55,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000047,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00002636,2026-04-28 13:22:24,CUST000246,Adam Davies,ACC001211,MER000085,Hotels Merchant 085,Hotels,38.23,GBP,API,Pending,23,Low,No Alert,0.04372970444496138,99.54,1,Critical,TOP_1_PERCENT_ANOMALY_SCORE,ML Only,0,2026-07-11T20:44:26
ML-ANOMALY-000048,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00009830,2026-04-21 04:11:07,CUST000562,Daniel Thomas,ACC000944,MER000143,Cash Withdrawal Merchant 143,Cash Withdrawal,46.23,USD,Card Present,Completed,89,Critical,P1,0.043708640151698064,99.53,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; WATCHLIST_LINKED_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
